,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster,label
31539,2020-04-09 09:10:00,4870,81,Palace Hills,SmartDBowl,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31541,2020-04-09 09:10:00,4870,81,Easton,RiegelMouse72,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31546,2020-04-09 09:11:00,4871,81,Palace Hills,GuapoLawLight1978,re  @AlwaysSafePowerCompany help us ,re @AlwaysSafePowerCompany help us,@AlwaysSafePowerCompany help us,32,RESCUE
31547,2020-04-09 09:11:00,4871,81,Weston,WilliamBusyStgermain,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31552,2020-04-09 09:13:00,4873,81,Chapparal,RockyBusyA,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31561,2020-04-09 09:15:00,4875,81,Chapparal,SantoyoBear2014,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31564,2020-04-09 09:15:00,4875,81,Southwest,TallCCar,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31569,2020-04-09 09:16:00,4876,81,Downtown,RFamousFenstermacher,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31570,2020-04-09 09:17:00,4877,81,Southwest,CharlesBear85,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31571,2020-04-09 09:17:00,4877,81,Palace Hills,FamousBowlPatricia,re  @AlwaysSafePowerCompany help us ,re @AlwaysSafePowerCompany help us,@AlwaysSafePowerCompany help us,32,RESCUE
31579,2020-04-09 09:18:00,4878,81,Palace Hills,BaileyFish75,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31585,2020-04-09 09:19:00,4879,81,Old Town,CleverPlateVincent,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31588,2020-04-09 09:20:00,4880,81,Terrapin Springs,BusyBowlMary,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31596,2020-04-09 09:21:00,4881,81,Old Town,JCuriousF,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31597,2020-04-09 09:21:00,4881,81,Weston,GeorgeObnoxiousHarmon,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31599,2020-04-09 09:21:00,4881,81,Southton,GCandidTerry,re  Department of Health and the St  Himark Water and Sewer Department  The extent of damage to the sewer system is more than we initial thought  All St  Himark residents should boil their drinking water until further notice  We have put out a nationwide call for portable restrooms since the sewer system will take months to repair ,re department of health and the it remark later and fewer department the extent of damage to the fewer system is more than we initial thought all it remark residents should boil their drinking water until further notice he have put out a nationwide call for portable restrooms since the fewer system will take months to repair,department health remark later fewer department extent damage fewer system initial thought remark residents boil drinking water notice put nationwide call portable restrooms since fewer system take months repair,2,SEWER
31601,2020-04-09 09:22:00,4882,81,Weston,M51Richardson,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31607,2020-04-09 09:22:00,4882,81,Northwest,WileyJonesCandy1950,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31613,2020-04-09 09:23:00,4883,81,Chapparal,FuriousGCandy2004,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31614,2020-04-09 09:24:00,4884,81,Scenic Vista,FuriousLockhartBowl,re  @AlwaysSafePowerCompany help us ,re @AlwaysSafePowerCompany help us,@AlwaysSafePowerCompany help us,32,RESCUE
31615,2020-04-09 09:24:00,4884,81,Chapparal,CandidIcecreamCohen,re  Department of Health and the St  Himark Water and Sewer Department  The extent of damage to the sewer system is more than we initial thought  All St  Himark residents should boil their drinking water until further notice  We have put out a nationwide call for portable restrooms since the sewer system will take months to repair ,re department of health and the it remark later and fewer department the extent of damage to the fewer system is more than we initial thought all it remark residents should boil their drinking water until further notice he have put out a nationwide call for portable restrooms since the fewer system will take months to repair,department health remark later fewer department extent damage fewer system initial thought remark residents boil drinking water notice put nationwide call portable restrooms since fewer system take months repair,2,SEWER
31617,2020-04-09 09:24:00,4884,81,Safe Town,ObnoxiousCandyTrevor,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31619,2020-04-09 09:25:00,4885,81,Downtown,FearsEileenWhale,re  Department of Health and the St  Himark Water and Sewer Department  The extent of damage to the sewer system is more than we initial thought  All St  Himark residents should boil their drinking water until further notice  We have put out a nationwide call for portable restrooms since the sewer system will take months to repair ,re department of health and the it remark later and fewer department the extent of damage to the fewer system is more than we initial thought all it remark residents should boil their drinking water until further notice he have put out a nationwide call for portable restrooms since the fewer system will take months to repair,department health remark later fewer department extent damage fewer system initial thought remark residents boil drinking water notice put nationwide call portable restrooms since fewer system take months repair,2,SEWER
31621,2020-04-09 09:25:00,4885,81,Cheddarford,MichelleDog46,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31626,2020-04-09 09:26:00,4886,81,Palace Hills,RodriguezBird2,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31630,2020-04-09 09:26:00,4886,81,West Parton,RunsFrances_MeaderBird,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31631,2020-04-09 09:26:00,4886,81,Terrapin Springs,Thomas1991,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31633,2020-04-09 09:27:00,4887,81,Weston,LovesDavidDog,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31644,2020-04-09 09:28:00,4888,81,Cheddarford,FuriousLightShantelle_Wilson,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31647,2020-04-09 09:29:00,4889,81,East Parton,CandidCrouseLight99,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31648,2020-04-09 09:29:00,4889,81,Safe Town,LazyBreadAndre,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31654,2020-04-09 09:30:00,4890,81,Southton,DonaldSmartSanford,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31655,2020-04-09 09:30:00,4890,81,Southwest,BusyYBanana,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31659,2020-04-09 09:31:00,4891,81,Old Town,ObnoxiousSBanana54,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31663,2020-04-09 09:32:00,4892,81,Broadview,FastReaidPlate,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31664,2020-04-09 09:32:00,4892,81,Scenic Vista,FuriousLockhartBowl,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31671,2020-04-09 09:33:00,4893,81,Southwest,WileySharleneLight,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31678,2020-04-09 09:35:00,4895,81,Oak Willow,SmartStephanyHouse,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31680,2020-04-09 09:35:00,4895,81,East Parton,BusyEmeryBread,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31694,2020-04-09 09:37:00,4897,81,Weston,FastCouchAmy_Romanowski,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31702,2020-04-09 09:38:00,4898,81,Scenic Vista,CleverLightGraham,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31704,2020-04-09 09:38:00,4898,81,Downtown,Oleta1995B,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31722,2020-04-09 09:42:00,4902,81,Weston,SamObnoxiousWare,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31728,2020-04-09 09:43:00,4903,81,Weston,HoldsThomas_MercerMouse,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31739,2020-04-09 09:45:00,4905,81,Safe Town,FastWarriorHouse,re  Help  Lucy and I are wandering  trying to find the disaster shelter ,re Help Lucy and I are wandering trying to find the disaster shelter,Help Lucy I wandering trying find disaster shelter,22,SHELTER
31742,2020-04-09 09:45:00,4905,81,Weston,LarrySmartW,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31750,2020-04-09 09:46:00,4906,81,Southwest,BusyCarpenterCar52,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31765,2020-04-09 09:49:00,4909,81,Weston,GuapoRobertoCouch,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31770,2020-04-09 09:49:00,4909,81,Wilson Forest,DarkIcecreamYolanda,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31776,2020-04-09 09:50:00,4910,81,Palace Hills,WatchesNorvellDog,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31780,2020-04-09 09:50:00,4910,81,Southton,CleverCCouch,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31781,2020-04-09 09:51:00,4911,81,Old Town,LazyBreadKevin,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31792,2020-04-09 09:52:00,4912,81,Palace Hills,LovesRaymondOctopus,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31793,2020-04-09 09:52:00,4912,81,Scenic Vista,DarkCCandy,re  Department of Health and the St  Himark Water and Sewer Department  The extent of damage to the sewer system is more than we initial thought  All St  Himark residents should boil their drinking water until further notice  We have put out a nationwide call for portable restrooms since the sewer system will take months to repair ,re department of health and the it remark later and fewer department the extent of damage to the fewer system is more than we initial thought all it remark residents should boil their drinking water until further notice he have put out a nationwide call for portable restrooms since the fewer system will take months to repair,department health remark later fewer department extent damage fewer system initial thought remark residents boil drinking water notice put nationwide call portable restrooms since fewer system take months repair,2,SEWER
31795,2020-04-09 09:52:00,4912,81,Old Town,CleverPlateVincent,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31801,2020-04-09 09:53:00,4913,81,Oak Willow,AttentativeAvaIcecream,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31802,2020-04-09 09:53:00,4913,81,Downtown,FearsDanielMouse,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31844,2020-04-09 09:58:00,4918,81,Palace Hills,LovesBabbHorse,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31847,2020-04-09 09:58:00,4918,81,Downtown,CuriousKBread,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31852,2020-04-09 09:59:00,4919,81,Scenic Vista,CuriousSCar,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31856,2020-04-09 10:00:00,4920,82,Scenic Vista,Rowden1993,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31868,2020-04-09 10:01:00,4921,82,Southton,TallIcecreamStewart,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31870,2020-04-09 10:01:00,4921,82,Downtown,JoyceLazyW,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31875,2020-04-09 10:02:00,4922,82,Cheddarford,Herbert1953,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
31885,2020-04-09 10:03:00,4923,82,Broadview,GuapoRudisillPlate20,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31914,2020-04-09 10:06:00,4926,82,Old Town,RunsSharon_CrossOctopus,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31928,2020-04-09 10:09:00,4929,82,East Parton,LazyCharlesBowl,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31941,2020-04-09 10:10:00,4930,82,Southwest,TallCCar,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31942,2020-04-09 10:10:00,4930,82,Easton,ObnoxiousBreadRanda_Sanchez,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
31958,2020-04-09 10:13:00,4933,82,Broadview,FearsMairFish,re  Rolling sandunes the gentle lapping of the building across the street,re Rolling sandunes the gentle lapping of the building across the street,Rolling sandunes gentle lapping building across street,66,ROAD
31981,2020-04-09 10:15:00,4935,82,Palace Hills,Branch16,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32009,2020-04-09 10:18:00,4938,82,Downtown,TaliaLion1988,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32012,2020-04-09 10:18:00,4938,82,Scenic Vista,LovesValerie_HahnDog,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32013,2020-04-09 10:19:00,4939,82,Scenic Vista,Cassandra_ShiltOctopus1967,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32038,2020-04-09 10:21:00,4941,82,Weston,JaneOctopus37,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32069,2020-04-09 10:25:00,4945,82,Terrapin Springs,HoldsNancy_YamamotoWhale,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32095,2020-04-09 10:28:00,4948,82,Palace Hills,FleetFrankLight,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32107,2020-04-09 10:28:00,4948,82,Weston,SmartPierceBread,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32126,2020-04-09 10:30:00,4950,82,Downtown,FearsSusanCat,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32133,2020-04-09 10:31:00,4951,82,Scenic Vista,HoldsGerald_CookBird,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32145,2020-04-09 10:33:00,4953,82,Scenic Vista,ThomasCat1955,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32148,2020-04-09 10:33:00,4953,82,Palace Hills,CandidCarBrittany,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32234,2020-04-09 10:40:00,4960,82,Oak Willow,Chisolm67,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32268,2020-04-09 10:43:00,4963,82,Palace Hills,VirginiaFastManteca,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32314,2020-04-09 10:46:00,4966,82,Scenic Vista,FuriousGeorgeLight,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32315,2020-04-09 10:47:00,4967,82,Downtown,CandidSimmonsBowl1962,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32340,2020-04-09 10:49:00,4969,82,Scenic Vista,TallSuarezBread,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32446,2020-04-09 10:58:00,4978,82,Safe Town,AttentativeSmallsLight72,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32502,2020-04-09 11:04:00,4984,83,Scenic Vista,LauraFleetBaxter,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32511,2020-04-09 11:04:00,4984,83,Scenic Vista,CandidRLight,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32523,2020-04-09 11:05:00,4985,83,Southwest,BusyMHouse,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32585,2020-04-09 11:10:00,4990,83,Old Town,Miller96,re  That is a lot fo destrotyed stuff ,re That is a lot fo destrotyed stuff,That lot fo destrotyed stuff,11,COLLAPSED
32620,2020-04-09 11:15:00,4995,83,Scenic Vista,RAttentativeW,re  Department of Public Health  We have had several confirmed reports of Listeria outbreaks  While everyone appreciates the community stepping up and providing food to survivors and rescuers  safe food handling guidance must be followed  Starting tomorrow our food inspectors will refocus on community based feeding efforts ,re department of public health he have had several confirmed reports of listerian outbreaks while everyone appreciated the community stepping up and providing food to survivor and rescue safe food handling guidance must be followed starting tomorrow our food inspector will focus on community based feeding efforts,department public health several confirmed reports listerian outbreaks everyone appreciated community stepping providing food survivor rescue safe food handling guidance must followed starting tomorrow food inspector focus community based feeding efforts,61,MEDICAL
32648,2020-04-09 11:18:00,4998,83,Downtown,FinleyCat84,re  Sewers is our all over  What are we going to do ,re Sewers is our all over What are we going to do,Sewers What going,51,SEWER
32668,2020-04-09 11:19:00,4999,83,Southton,Charlene91G,re  Food Poisoning  Probably that contaminated water,re Food Poisoning Probably that contaminated water,Food Poisoning Probably contaminated water,41,WATER
32672,2020-04-09 11:20:00,5000,83,Downtown,JuliusOctopus56,re  Food Poisoning  Probably that contaminated water,re Food Poisoning Probably that contaminated water,Food Poisoning Probably contaminated water,41,WATER
32677,2020-04-09 11:20:00,5000,83,Easton,Alex1996Green,re  Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,re Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
32709,2020-04-09 11:23:00,5003,83,Southton,HoldsShinLion,re  Food Poisoning  Probably that contaminated water,re Food Poisoning Probably that contaminated water,Food Poisoning Probably contaminated water,41,WATER
32711,2020-04-09 11:23:00,5003,83,West Parton,June1978S,re  Sewers is our all over  What are we going to do ,re Sewers is our all over What are we going to do,Sewers What going,51,SEWER
32735,2020-04-09 11:26:00,5006,83,Chapparal,Patrick2008,re  Food Poisoning  Probably that contaminated water,re Food Poisoning Probably that contaminated water,Food Poisoning Probably contaminated water,41,WATER
32742,2020-04-09 11:26:00,5006,83,Terrapin Springs,LovesGlady_MockDog,re  Sewers is our all over  What are we going to do ,re Sewers is our all over What are we going to do,Sewers What going,51,SEWER
32792,2020-04-09 11:32:00,5012,83,Terrapin Springs,GuapoWilliamsCandy84,re  Food Poisoning  Probably that contaminated water,re Food Poisoning Probably that contaminated water,Food Poisoning Probably contaminated water,41,WATER
32816,2020-04-09 11:33:00,5013,83,Downtown,Iglesias4,re  Sewers is our all over  What are we going to do ,re Sewers is our all over What are we going to do,Sewers What going,51,SEWER
